geography,AmerAlaskTotal,NoHealthCare,UsCitizenBornUs
Alabama,1291826,13.9,4647949
Alaska,24790,15,664047
Arizona,280518,14.4,5714104
Arkansas,468231,16.3,2806234
California,2259681,14.8,27792932
Colorado,215446,12.8,4736069
Connecticut,371857,8.7,2970301
Delaware,203326,8.6,839540
District of Columbia,321346,8.3,554770
Florida,3221160,17.6,15241452
Georgia,3163620,20.9,8964185
Hawaii,30729,8.1,1120348
Idaho,11354,16.5,1522143
Illinois,1837715,11.9,10953637
Indiana,612890,14.7,6236507
Iowa,97874,7.7,2936748
Kansas,171976,14.5,2673944
Kentucky,350141,10,4224971
Louisiana,1502184,18.7,4424913
Maine,16557,11,1267312
Maryland,1774618,9.2,5003084
Massachusetts,477527,4.6,5495998
Michigan,1375194,10.3,9207813
Minnesota,312432,7.3,4988565
Mississippi,1132556,18.8,2908745
Missouri,711601,12.9,5794015
Montana,5812,12.9,989611
Nebraska,88620,12.3,1742486
Nevada,242994,17.1,2239169
New Hampshire,17009,11.4,1233818
New Jersey,1212054,12.4,6765079
New Mexico,41277,15.4,1855647
New York,3093476,12.3,14789743
North Carolina,2154387,16.1,9067440
North Dakota,14910,8.8,710351
Ohio,1419214,10.2,11023445
Oklahoma,287254,13.9,3613031
Oregon,71042,11,3530904
Pennsylvania,1416865,10.1,11752663
Rhode Island,70600,8,891364
South Carolina,1320373,17.1,4549317
South Dakota,14830,9.9,823209
Tennessee,1105318,14.2,6174809
Texas,3234898,24.9,22071946
Utah,33520,13.9,2664243
Vermont,6164,6.7,594506
Virginia,1601449,13,7169869
Washington,251336,10.7,5996430
West Virginia,68279,10.1,1816521
Wisconsin,363916,8.5,5431217
Wyoming,6320,15.1,555906